date,player_team,player,team,goals,rank
2024-08-17,diogojota_liverpool,Diogo Jota,Liverpool,1.0,8.0
2024-08-17,jhonduran_astonvilla,Jhon Duran,Aston Villa,1.0,9.0
2024-08-17,joelinton_newcastleutd,Joelinton,Newcastle Utd,1.0,10.0
2024-08-17,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,11.0
2024-08-17,kaorumitoma_brighton,Kaoru Mitoma,Brighton,1.0,12.0
2024-08-17,lucaspaqueta_westham,Lucas Paqueta,West Ham,1.0,13.0
2024-08-17,simonadingra_brighton,Simon Adingra,Brighton,1.0,14.0
2024-08-17,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,0.0,15.0
2024-08-17,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,0.0,16.0
2024-08-17,matswieffer_brighton,Mats Wieffer,Brighton,0.0,17.0
2024-08-17,yankubaminteh_brighton,Yankuba Minteh,Brighton,0.0,18.0
2024-08-17,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,19.0
2024-08-17,adamarmstrong_southampton,Adam Armstrong,Southampton,0.0,20.0
2024-08-17,adamatraore_fulham,Adama Traore,Fulham,0.0,21.0
2024-08-17,alexiwobi_fulham,Alex Iwobi,Fulham,0.0,22.0
2024-08-17,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,23.0
2024-08-17,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,0.0,24.0
2024-08-17,andreaspereira_fulham,Andreas Pereira,Fulham,0.0,25.0
2024-08-17,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,26.0
2024-08-17,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,0.0,27.0
2024-08-17,ashleyyoung_everton,Ashley Young,Everton,0.0,28.0
2024-08-17,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,29.0
2024-08-17,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,30.0
2024-08-17,beto_everton,Beto,Everton,0.0,31.0
2024-08-17,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,32.0
2024-08-17,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,33.0
2024-08-17,brennanjohnson_tottenham,Brennan Johnson,Tottenham,0.0,34.0
2024-08-17,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,0.0,35.0
2024-08-17,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,36.0
2024-08-17,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,0.0,37.0
2024-08-17,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,0.0,38.0
2024-08-17,cameronarcher_southampton,Cameron Archer,Southampton,0.0,39.0
2024-08-17,carlosbaleba_brighton,Carlos Baleba,Brighton,0.0,40.0
2024-08-17,casemiro_manchesterutd,Casemiro,Manchester Utd,0.0,41.0
2024-08-17,colepalmer_chelsea,Cole Palmer,Chelsea,0.0,45.0
2024-08-17,cristianromero_tottenham,Cristian Romero,Tottenham,0.0,47.0
2024-08-17,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,0.0,57.0
2024-08-17,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,0.0,58.0
2024-08-17,dominicsolanke_tottenham,Dominic Solanke,Tottenham,0.0,59.0
2024-08-17,dwightmcneil_everton,Dwight McNeil,Everton,0.0,61.0
2024-08-17,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,0.0,64.0
2024-08-17,erlinghaaland_manchestercity,Erling Haaland,Manchester City,0.0,67.0
2024-08-17,evanilson_bournemouth,Evanilson,Bournemouth,0.0,71.0
2024-08-17,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,0.0,75.0
2024-08-17,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,0.0,79.0
2024-08-17,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,0.0,80.0
2024-08-17,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,0.0,85.0
2024-08-17,jamesjustin_leicestercity,James Justin,Leicester City,0.0,94.0
2024-08-17,jamesmaddison_tottenham,James Maddison,Tottenham,0.0,95.0
2024-08-17,jamievardy_leicestercity,Jamie Vardy,Leicester City,0.0,96.0
2024-08-17,jarrodbowen_westham,Jarrod Bowen,West Ham,0.0,97.0
2024-08-17,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,0.0,98.0
2024-08-17,joaofelix_chelsea,Joao Felix,Chelsea,0.0,101.0
2024-08-17,joaopedro_brighton,Joao Pedro,Brighton,0.0,103.0
2024-08-17,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,0.0,107.0
2024-08-17,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,0.0,111.0
2024-08-17,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,0.0,112.0
2024-08-17,leandrotrossard_arsenal,Leandro Trossard,Arsenal,0.0,114.0
2024-08-17,liamdelap_ipswichtown,Liam Delap,Ipswich Town,0.0,117.0
2024-08-17,luisdiaz_liverpool,Luis Diaz,Liverpool,0.0,118.0
2024-08-17,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,0.0,119.0
2024-08-17,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,0.0,122.0
2024-08-17,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,0.0,126.0
2024-08-17,matheuscunha_wolves,Matheus Cunha,Wolves,0.0,128.0
2024-08-17,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,0.0,141.0
2024-08-17,morganrogers_astonvilla,Morgan Rogers,Aston Villa,0.0,142.0
2024-08-17,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,0.0,146.0
2024-08-17,nonimadueke_chelsea,Noni Madueke,Chelsea,0.0,148.0
2024-08-17,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,0.0,150.0
2024-08-17,pedroporro_tottenham,Pedro Porro,Tottenham,0.0,157.0
2024-08-17,rauljimenez_fulham,Raul Jimenez,Fulham,0.0,161.0
2024-08-17,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,0.0,162.0
2024-08-17,sonheungmin_tottenham,Son Heung-min,Tottenham,0.0,175.0
2024-08-17,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,0.0,176.0
2024-08-17,yoanewissa_brentford,Yoane Wissa,Brentford,0.0,189.0
2024-08-18,bukayosaka_arsenal,Bukayo Saka,Arsenal,1.0,1.0
2024-08-18,dannywelbeck_brighton,Danny Welbeck,Brighton,1.0,2.0
2024-08-18,kaihavertz_arsenal,Kai Havertz,Arsenal,1.0,3.0
2024-08-18,mohamedsalah_liverpool,Mohamed Salah,Liverpool,1.0,4.0
2024-08-18,yoanewissa_brentford,Yoane Wissa,Brentford,1.0,5.0
2024-08-18,amadouonana_astonvilla,Amadou Onana,Aston Villa,1.0,6.0
2024-08-18,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,1.0,7.0
2024-08-18,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,1.0,8.0
2024-08-18,chriswood_notthamforest,Chris Wood,Nott'ham Forest,1.0,9.0
2024-08-18,diogojota_liverpool,Diogo Jota,Liverpool,1.0,10.0
2024-08-18,erlinghaaland_manchestercity,Erling Haaland,Manchester City,1.0,11.0
2024-08-18,jhonduran_astonvilla,Jhon Duran,Aston Villa,1.0,12.0
2024-08-18,joelinton_newcastleutd,Joelinton,Newcastle Utd,1.0,13.0
2024-08-18,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,14.0
2024-08-18,kaorumitoma_brighton,Kaoru Mitoma,Brighton,1.0,15.0
2024-08-18,lucaspaqueta_westham,Lucas Paqueta,West Ham,1.0,16.0
2024-08-18,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,1.0,17.0
2024-08-18,simonadingra_brighton,Simon Adingra,Brighton,1.0,18.0
2024-08-18,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,0.0,19.0
2024-08-18,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,0.0,20.0
2024-08-18,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,21.0
2024-08-18,matswieffer_brighton,Mats Wieffer,Brighton,0.0,22.0
2024-08-18,yankubaminteh_brighton,Yankuba Minteh,Brighton,0.0,23.0
2024-08-18,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,24.0
2024-08-18,adamarmstrong_southampton,Adam Armstrong,Southampton,0.0,25.0
2024-08-18,adamatraore_fulham,Adama Traore,Fulham,0.0,26.0
2024-08-18,alexiwobi_fulham,Alex Iwobi,Fulham,0.0,27.0
2024-08-18,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,28.0
2024-08-18,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,0.0,29.0
2024-08-18,andreaspereira_fulham,Andreas Pereira,Fulham,0.0,30.0
2024-08-18,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,31.0
2024-08-18,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,0.0,32.0
2024-08-18,ashleyyoung_everton,Ashley Young,Everton,0.0,33.0
2024-08-18,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,34.0
2024-08-18,beto_everton,Beto,Everton,0.0,35.0
2024-08-18,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,36.0
2024-08-18,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,37.0
2024-08-18,brennanjohnson_tottenham,Brennan Johnson,Tottenham,0.0,38.0
2024-08-18,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,0.0,39.0
2024-08-18,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,40.0
2024-08-18,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,0.0,41.0
2024-08-18,cameronarcher_southampton,Cameron Archer,Southampton,0.0,42.0
2024-08-18,carlosbaleba_brighton,Carlos Baleba,Brighton,0.0,43.0
2024-08-18,casemiro_manchesterutd,Casemiro,Manchester Utd,0.0,44.0
2024-08-18,colepalmer_chelsea,Cole Palmer,Chelsea,0.0,48.0
2024-08-18,cristianromero_tottenham,Cristian Romero,Tottenham,0.0,50.0
2024-08-18,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,0.0,60.0
2024-08-18,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,0.0,61.0
2024-08-18,dominicsolanke_tottenham,Dominic Solanke,Tottenham,0.0,62.0
2024-08-18,dwightmcneil_everton,Dwight McNeil,Everton,0.0,64.0
2024-08-18,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,0.0,67.0
2024-08-18,evanilson_bournemouth,Evanilson,Bournemouth,0.0,73.0
2024-08-18,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,0.0,77.0
2024-08-18,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,0.0,81.0
2024-08-18,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,0.0,82.0
2024-08-18,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,0.0,87.0
2024-08-18,jamesjustin_leicestercity,James Justin,Leicester City,0.0,96.0
2024-08-18,jamesmaddison_tottenham,James Maddison,Tottenham,0.0,97.0
2024-08-18,jamievardy_leicestercity,Jamie Vardy,Leicester City,0.0,98.0
2024-08-18,jarrodbowen_westham,Jarrod Bowen,West Ham,0.0,99.0
2024-08-18,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,0.0,100.0
2024-08-18,joaofelix_chelsea,Joao Felix,Chelsea,0.0,103.0
2024-08-18,joaopedro_brighton,Joao Pedro,Brighton,0.0,105.0
2024-08-18,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,0.0,109.0
2024-08-18,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,0.0,113.0
2024-08-18,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,0.0,114.0
2024-08-18,leandrotrossard_arsenal,Leandro Trossard,Arsenal,0.0,116.0
2024-08-18,liamdelap_ipswichtown,Liam Delap,Ipswich Town,0.0,119.0
2024-08-18,luisdiaz_liverpool,Luis Diaz,Liverpool,0.0,120.0
2024-08-18,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,0.0,121.0
2024-08-18,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,0.0,124.0
2024-08-18,matheuscunha_wolves,Matheus Cunha,Wolves,0.0,129.0
2024-08-18,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,0.0,142.0
2024-08-18,morganrogers_astonvilla,Morgan Rogers,Aston Villa,0.0,143.0
2024-08-18,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,0.0,147.0
2024-08-18,nonimadueke_chelsea,Noni Madueke,Chelsea,0.0,149.0
2024-08-18,olliewatkins_astonvilla,Ollie Watkins,Aston Villa,0.0,151.0
2024-08-18,pedroporro_tottenham,Pedro Porro,Tottenham,0.0,158.0
2024-08-18,rauljimenez_fulham,Raul Jimenez,Fulham,0.0,162.0
2024-08-18,rayanaitnouri_wolves,Rayan Ait-Nouri,Wolves,0.0,163.0
2024-08-18,sonheungmin_tottenham,Son Heung-min,Tottenham,0.0,176.0
2024-08-18,stephymavididi_leicestercity,Stephy Mavididi,Leicester City,0.0,177.0
2024-08-19,bukayosaka_arsenal,Bukayo Saka,Arsenal,1.0,1.0
2024-08-19,dannywelbeck_brighton,Danny Welbeck,Brighton,1.0,2.0
2024-08-19,kaihavertz_arsenal,Kai Havertz,Arsenal,1.0,3.0
2024-08-19,mohamedsalah_liverpool,Mohamed Salah,Liverpool,1.0,4.0
2024-08-19,yoanewissa_brentford,Yoane Wissa,Brentford,1.0,5.0
2024-08-19,amadouonana_astonvilla,Amadou Onana,Aston Villa,1.0,6.0
2024-08-19,antoinesemenyo_bournemouth,Antoine Semenyo,Bournemouth,1.0,7.0
2024-08-19,bryanmbeumo_brentford,Bryan Mbeumo,Brentford,1.0,8.0
2024-08-19,chriswood_notthamforest,Chris Wood,Nott'ham Forest,1.0,9.0
2024-08-19,diogojota_liverpool,Diogo Jota,Liverpool,1.0,10.0
2024-08-19,erlinghaaland_manchestercity,Erling Haaland,Manchester City,1.0,11.0
2024-08-19,jamievardy_leicestercity,Jamie Vardy,Leicester City,1.0,12.0
2024-08-19,jhonduran_astonvilla,Jhon Duran,Aston Villa,1.0,13.0
2024-08-19,joelinton_newcastleutd,Joelinton,Newcastle Utd,1.0,14.0
2024-08-19,joshuazirkzee_manchesterutd,Joshua Zirkzee,Manchester Utd,1.0,15.0
2024-08-19,kaorumitoma_brighton,Kaoru Mitoma,Brighton,1.0,16.0
2024-08-19,lucaspaqueta_westham,Lucas Paqueta,West Ham,1.0,17.0
2024-08-19,mateokovacic_manchestercity,Mateo Kovacic,Manchester City,1.0,18.0
2024-08-19,pedroporro_tottenham,Pedro Porro,Tottenham,1.0,19.0
2024-08-19,simonadingra_brighton,Simon Adingra,Brighton,1.0,20.0
2024-08-19,alejandrogarnacho_manchesterutd,Alejandro Garnacho,Manchester Utd,0.0,21.0
2024-08-19,alexanderisak_newcastleutd,Alexander Isak,Newcastle Utd,0.0,22.0
2024-08-19,bernardosilva_manchestercity,Bernardo Silva,Manchester City,0.0,23.0
2024-08-19,jamesmaddison_tottenham,James Maddison,Tottenham,0.0,24.0
2024-08-19,matswieffer_brighton,Mats Wieffer,Brighton,0.0,25.0
2024-08-19,yankubaminteh_brighton,Yankuba Minteh,Brighton,0.0,26.0
2024-08-19,aaronwanbissaka_westham,Aaron Wan-Bissaka,West Ham,0.0,27.0
2024-08-19,adamarmstrong_southampton,Adam Armstrong,Southampton,0.0,28.0
2024-08-19,adamatraore_fulham,Adama Traore,Fulham,0.0,29.0
2024-08-19,alexiwobi_fulham,Alex Iwobi,Fulham,0.0,30.0
2024-08-19,alexismacallister_liverpool,Alexis Mac Allister,Liverpool,0.0,31.0
2024-08-19,amaddiallo_manchesterutd,Amad Diallo,Manchester Utd,0.0,32.0
2024-08-19,andreaspereira_fulham,Andreas Pereira,Fulham,0.0,33.0
2024-08-19,anthonyelanga_notthamforest,Anthony Elanga,Nott'ham Forest,0.0,34.0
2024-08-19,anthonygordon_newcastleutd,Anthony Gordon,Newcastle Utd,0.0,35.0
2024-08-19,ashleyyoung_everton,Ashley Young,Everton,0.0,36.0
2024-08-19,axeldisasi_chelsea,Axel Disasi,Chelsea,0.0,37.0
2024-08-19,beto_everton,Beto,Everton,0.0,38.0
2024-08-19,bilalelkhannouss_leicestercity,Bilal El Khannouss,Leicester City,0.0,39.0
2024-08-19,bobbyreid_leicestercity,Bobby Reid,Leicester City,0.0,40.0
2024-08-19,brennanjohnson_tottenham,Brennan Johnson,Tottenham,0.0,41.0
2024-08-19,brunofernandes_manchesterutd,Bruno Fernandes,Manchester Utd,0.0,42.0
2024-08-19,brunoguimaraes_newcastleutd,Bruno Guimaraes,Newcastle Utd,0.0,43.0
2024-08-19,callumhudsonodoi_notthamforest,Callum Hudson-Odoi,Nott'ham Forest,0.0,44.0
2024-08-19,cameronarcher_southampton,Cameron Archer,Southampton,0.0,45.0
2024-08-19,carlosbaleba_brighton,Carlos Baleba,Brighton,0.0,46.0
2024-08-19,casemiro_manchesterutd,Casemiro,Manchester Utd,0.0,47.0
2024-08-19,colepalmer_chelsea,Cole Palmer,Chelsea,0.0,51.0
2024-08-19,cristianromero_tottenham,Cristian Romero,Tottenham,0.0,53.0
2024-08-19,dejankulusevski_tottenham,Dejan Kulusevski,Tottenham,0.0,63.0
2024-08-19,dominiccalvertlewin_everton,Dominic Calvert-Lewin,Everton,0.0,64.0
2024-08-19,dominicsolanke_tottenham,Dominic Solanke,Tottenham,0.0,65.0
2024-08-19,dwightmcneil_everton,Dwight McNeil,Everton,0.0,67.0
2024-08-19,emilesmithrowe_fulham,Emile Smith Rowe,Fulham,0.0,70.0
2024-08-19,evanilson_bournemouth,Evanilson,Bournemouth,0.0,76.0
2024-08-19,facundobuonanotte_leicestercity,Facundo Buonanotte,Leicester City,0.0,80.0
2024-08-19,gabrielmagalhaes_arsenal,Gabriel Magalhaes,Arsenal,0.0,84.0
2024-08-19,gabrielmartinelli_arsenal,Gabriel Martinelli,Arsenal,0.0,85.0
2024-08-19,harveybarnes_newcastleutd,Harvey Barnes,Newcastle Utd,0.0,90.0
2024-08-19,jamesjustin_leicestercity,James Justin,Leicester City,0.0,99.0
2024-08-19,jarrodbowen_westham,Jarrod Bowen,West Ham,0.0,100.0
2024-08-19,jeanphilippemateta_crystalpalace,Jean-Philippe Mateta,Crystal Palace,0.0,101.0
2024-08-19,joaofelix_chelsea,Joao Felix,Chelsea,0.0,104.0
2024-08-19,joaopedro_brighton,Joao Pedro,Brighton,0.0,106.0
2024-08-19,jorgenstrandlarsen_wolves,Jorgen Strand Larsen,Wolves,0.0,110.0
2024-08-19,justinkluivert_bournemouth,Justin Kluivert,Bournemouth,0.0,114.0
2024-08-19,kevindebruyne_manchestercity,Kevin De Bruyne,Manchester City,0.0,115.0
2024-08-19,leandrotrossard_arsenal,Leandro Trossard,Arsenal,0.0,117.0
2024-08-19,liamdelap_ipswichtown,Liam Delap,Ipswich Town,0.0,120.0
2024-08-19,luisdiaz_liverpool,Luis Diaz,Liverpool,0.0,121.0
2024-08-19,luissinisterra_bournemouth,Luis Sinisterra,Bournemouth,0.0,122.0
2024-08-19,marcusrashford_manchesterutd,Marcus Rashford,Manchester Utd,0.0,125.0
2024-08-19,matheuscunha_wolves,Matheus Cunha,Wolves,0.0,130.0
2024-08-19,morgangibbswhite_notthamforest,Morgan Gibbs-White,Nott'ham Forest,0.0,143.0
2024-08-19,morganrogers_astonvilla,Morgan Rogers,Aston Villa,0.0,144.0
2024-08-19,nicolasjackson_chelsea,Nicolas Jackson,Chelsea,0.0,148.0
2024-08-19,nonimadueke_chelsea,Noni Madueke,Chelsea,0.0,150.0
